BASE_YM,CL_NM,TRRSRT_NM,TRRSRT_ADDR,SCORE_VALUE,MOP_CN,REGIST_DE
202308,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,0,"안내,친절,흥분,카트,아이",20230831
202308,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,0,공연,20230829
202308,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,0,"이후,수학,고등학생,제주도,처음",20230829
202308,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,0,"아이,카트라이드,승마,케어,종아리",20230828
202308,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,0,"개인,가격,만족",20230828
202308,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,0,,20230826
202308,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,0,"공연,마상,추천",20230826
202308,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,0,"승마,추천,의미,엄마,카트",20230825
202308,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,0,"취소,역사,공연,영화,관람",20230823
202308,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,0,"공연,승마,박진감,단거리,카트",20230822
202308,테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,0,아이,20230831
202308,테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,0,"퍼즐,아이,박물관",20230829
202308,테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,0,,20230828
202308,테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,0,,20230827
202308,테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,0,아이,20230827
202308,테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,0,"마지막,카페,운영,미로",20230824
202308,테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,0,"공원,박물관,미로,관리,아이",20230822
202308,테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,0,"미로,시간,여름,박물관",20230822
202308,테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,0,"더위,미션,하늘,마지막,아래",20230820
202308,테마파크,브릭캠퍼스,제주 제주시 1100로 3047,0,"어른,예술,가능,아이",20230831
202308,테마파크,브릭캠퍼스,제주 제주시 1100로 3047,0,"궂즈샵,브릭캠퍼스",20230831
202308,테마파크,브릭캠퍼스,제주 제주시 1100로 3047,0,시간,20230830
202308,테마파크,브릭캠퍼스,제주 제주시 1100로 3047,0,"가격,빈약,사진,방문,전시",20230830
202308,테마파크,브릭캠퍼스,제주 제주시 1100로 3047,0,"아기,자동차",20230830
202308,테마파크,브릭캠퍼스,제주 제주시 1100로 3047,0,"볼거리,기대,아이,다음",20230830
202308,테마파크,상효원,제주 서귀포시 산록남로 2847-37,0,,20230831
202308,테마파크,상효원,제주 서귀포시 산록남로 2847-37,0,산책,20230827
202308,테마파크,상효원,제주 서귀포시 산록남로 2847-37,0,"가족,아래,소낭",20230815
202308,테마파크,상효원,제주 서귀포시 산록남로 2847-37,0,"입구,친절,사진,여름,바람",20230811
202308,테마파크,상효원,제주 서귀포시 산록남로 2847-37,0,"추천,사진,수목원",20230808
202308,테마파크,상효원,제주 서귀포시 산록남로 2847-37,0,수국,20230805
202308,테마파크,상효원,제주 서귀포시 산록남로 2847-37,0,,20230802
202308,테마파크,소인국테마파크,제주 서귀포시 안덕면 중산간서로 1878,0,"구경,아이,여름,제주",20230825
202308,테마파크,소인국테마파크,제주 서귀포시 안덕면 중산간서로 1878,0,"가능,구조물,모형,아이,산책로",20230822
202308,테마파크,소인국테마파크,제주 서귀포시 안덕면 중산간서로 1878,0,아이,20230817
202308,테마파크,소인국테마파크,제주 서귀포시 안덕면 중산간서로 1878,0,볼거리,20230817
